,,,,Wahlbeamte,,,,,,,,,,,,,Laufbahngruppe 2 –,,,,,,,,,,,,Laufbahngruppe 2 –,,,,,,,,,,,,Laufbahngruppe 1 –,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Einstiegsamt 2,,,,,,,,,,,,Einstiegsamt 1,,,,,,,,,,,,Einstiegsamt 2,,,,,,,,,,,,,
PG,Bezeichnung,,,B10,,,B6,,,B5,,,B2,,,A16,,,A15,,,A14,,,A13,,,A13,,,A12,,,A11,,,A10,,,A9Z,,,A9,,,A8,,,A7,,,Summe,,
0205,STANDESAMTSANGELEGEN- HEITEN,,,,,,,,,,,,,,,,,,,,,,,,"1,00",,,,,,"1,00",,,"2,00",,,"6,50",,,,,,"1,00",,,"1,00",,,,,,"12,50",,
0206,AUSLÄNDERANGELEGEN- HEITEN,,,,,,,,,,,,,,,,,,"1,00",,,,,,,,,"1,00",,,,,,"2,00",,,"7,75",,,,,,"10,50",,,,,,,,,"22,25",,
0207,STATISTIK,,,,,,,,,,,,,,,"0,20",,,,,,"0,20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,40",,
0209,BRANDSCHUTZ UND FEUERWEHRTECHNISCHE HILFELEISTUNG,,,,,,,,,,,,,,,"0,78",,,"1,98",,,"3,21",,,"2,83",,,"6,41",,,"24,85",,,"23,80",,,"20,69",,,"25,28",,,"155,41",,,"49,98",,,,,,"315,22",,
0210,RETTUNGSDIENST,,,,,,,,,,,,,,,"0,22",,,"0,02",,,"0,79",,,"0,17",,,"1,59",,,"2,15",,,"8,20",,,"7,76",,,"17,72",,,"89,06",,,"40,16",,,,,,"167,84",,
0211,VETERINÄRWESEN UND LEBENSMITTELÜBER- WACHUNG,,,,,,,,,,,,"0,20",,,,,,"1,00",,,,,,,,,,,,,,,"2,00",,,"1,00",,,,,,,,,"1,00",,,,,,"5,20",,
,,Summen: Produktbereich 02,,,"0,00",,,"0,00",,,"0,00",,,"0,20",,,"2,20",,,"5,00",,,"6,20",,,"5,00",,,"13,00",,,"30,00",,,"44,00",,,"55,83",,,"43,00",,,"282,39",,,"109,85",,,"3,50",,,"600,17",
,,Sicherheit und Ordnung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0301,LEISTUNGEN FÜR SCHULEN,,,,,,,,,,,,,,,"0,55",,,"1,60",,,,,,,,,"1,70",,,"2,00",,,"7,50",,,"2,00",,,,,,"1,00",,,"2,18",,,"0,51",,,"19,04",,
0302,ZENTRALE LEISTUNGEN FÜR SCHÜLER/-INNEN UND AM SCHULLEBEN BETEILIGTE,,,,,,,,,,,,,,,"0,35",,,"1,40",,,,,,"1,00",,,"0,30",,,"1,00",,,"2,45",,,"2,50",,,,,,"1,00",,,"1,32",,,,,,"11,32",,
,,Summen: Produktbereich 03,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,90",,,"3,00",,,"0,00",,,"1,00",,,"2,00",,,"3,00",,,"9,95",,,"4,50",,,"0,00",,,"2,00",,,"3,50",,,"0,51",,,"30,36",
,,Schulträgeraufgaben,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0402,VOLKSHOCHSCHULE,,,,,,,,,,,,,,,"0,10",,,,,,,,,,,,,,,"1,00",,,"1,00",,,,,,,,,,,,"0,75",,,,,,"2,85",,
0403,WESTFÄLISCHE SCHULE FÜR MUSIK UND FÖRDERUNG DER STADTTEIL- MUSIKSCHULEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,00",,,,,,,,,,,,,,,,,,,,,"1,00",,
0404,STADTBÜCHEREI UND FÖRDERUNG VON BÜCHEREIEN FREIER TRÄGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,51",,,,,,"1,51",,
0405,STADTMUSEUM,,,,,,,,,,,,,,,,,,"1,00",,,"1,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,00",,
0406,STADTARCHIV,,,,,,,,,,,,,,,,,,"1,00",,,"1,00",,,,,,,,,,,,"1,00",,,,,,,,,,,,,,,,,,"3,00",,
,,Summen: Produktbereich 04,,,"0,00",,,"0,00",,,"0,00",,,"0,00",,,"0,10",,,"2,00",,,"2,00",,,"0,00",,,"0,00",,,"2,00",,,"2,00",,,"0,00",,,"0,00",,,"0,00",,,"2,26",,,"0,00",,,"10,36",
,,Kultur und Wissenschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0501,GRUNDSICHERUNG FÜR ARBEITSSUCHENDE NACH DEM SGB II,,,,,,,,,,,,,,,,,,"1,00",,,"2,00",,,,,,"3,00",,,"7,00",,,"15,20",,,"32,40",,,,,,"3,00",,,"5,50",,,"1,00",,,"70,10",,
0502,SICHERUNG DES LEBENSUNTERHALTS (OHNE SGB II),,,,,,,,,,,,,,,,,,"0,50",,,"1,50",,,,,,"1,50",,,"2,00",,,"7,32",,,"17,87",,,,,,"1,50",,,,,,,,,"32,19",,
0503,SICHERUNG BESONDERER SOZIALER BEDARFE,,,,,,,,,,,,,,,,,,"0,50",,,"1,50",,,,,,"1,50",,,"2,00",,,"9,04",,,"10,85",,,,,,,,,"5,00",,,,,,"30,39",,
